id,名称,原始名称,生命值,攻击力,攻击类型,防御力,法抗,攻击范围,攻击间隔,移速,权重,额外权重,技能/特性
1,喷射背包客,空降兵,3500,380,,200,20.0,,,1.0,,,很多时候他们落下来只是因为燃料根本不够。
2,黑土游击弩手,乌萨斯突袭弩手,5000,430,,200,20.0,,,1.0,,,雪天的时候他们会试着伪装成岩石，但效果往往不好。
3,污水虫虫,黑水源石虫,2250,280,,0,0.0,,,1.0,,,如果你看到一只，那就不得不怀疑整个下水道里到底有多少只了！
4,赛场流氓,赏金猎人扰乱者,15000,650,,500,50.0,,,0.8,,,冲进赛场的理由不是对比赛不满，他们就是喜欢制造混乱。
5,赛场无赖射手,赏金猎人弩手,15000,500,,500,30.0,,,0.7,,,扔扔水瓶还能理解，像他们这样掏出武器可就有些过分了。
6,过激的竞猜者,荒原劫掠者,20000,500,,800,0.0,,,0.6,,,“比起等着下注结果，我们直接上去打趴对面不就得了？”
7,“大斧”,高级武装人员,18000,1500,,800,30.0,,,0.65,,,最大的斧头，最初的恐怖，最纯粹的压迫感。
8,“门”,“门”,50000,1000,,300,10.0,,,0.7,,,如果一扇被门关上了，一定会有另一扇被门打开，就是指不定开在什么地方。
9,虹吸巨刃,萨卡兹宿主卫巢百夫长,14000,700,,220,60.0,,,0.8,,,他们模糊的意识中只剩一句命令：“不许倒下！”
10,自爆冰虫,冰爆源石虫,3250,300,,0,0.0,,,1.0,,,为什么大家看它的眼神总是冷冰冰？或许因为它自己就很冷冰冰。
11,苦难的具象,狂暴宿主组长,30000,1750,,230,30.0,,,1.2,,,他已然成为源石的傀儡，他不被允许生存。
12,畸变赘生物,畸变赘生物,1000,150,,0,0.0,,,1.9,,,在辐射变异与源石感染双重作用下诞生的扭曲生物。
13,大喷蛛,变异巨岩蛛,15000,600,,300,0.0,,,0.8,,,还好召唤出来的不是小喷蛛，只是畸变赘生物。
14,假酒海盗,朗姆酒推荐者,10500,1000,,500,20.0,,,0.5,,,假酒害人，害的最好都是你的敌人。
15,高敏感积藏者,诡核集养者,8000,190,,150,35.0,,,1.0,,,一旦受到惊吓就会分裂的海嗣，并且很容易受惊。
16,“染血之盾”,萨卡兹枯朽宿卫,5000,1000,,5000,90.0,,,0.6,,,为照顾部分观众，盾上的图案一律只能用颜料绘制。
17,巧克力流心虫虫,灼热源石虫,1200,50,,0,0.0,,,0.8,,,努力地向敌人喷出滚烫巧克力液，很诱人但是真的很烫。
18,机鳄战甲,提亚卡乌破坏王,9500,750,,700,10.0,,,0.7,,,整个村子里最能砍树的选手。
19,扩音术师,高塔术师,7000,600,,160,65.0,,,0.6,,,面具内置扩音器能使声音被更多人听到，这不是理所当然的吗。
20,狂躁觅食兽,凶豕兽,25000,600,,20,0.0,,,0.35,,,看起来它们已经饿了一段时间了，最好不要挡道......
21,扎人的石头,矿脉守卫,25000,400,,300,10.0,,,0.6,,,被它打了很疼，打它还是很疼。
22,保鲜膜骑士,呼啸骑士团学徒,2800,300,,100,0.0,,,0.9,,,呼啸守卫轻型盔甲，以柔克刚，刀枪不入！有效时间不保证。
23,无德决斗家,寻路者信使,17000,600,,500,60.0,,,0.8,,,比起获胜，伤人手脚才是他们的主要目的。
24,“火与钢”,“复仇者”,57500,800,,650,60.0,,,0.65,,,你知道他的刀刃燃起火焰意味着什么。
25,榴弹佣兵,反装甲步兵,3200,500,,50,40.0,,,0.9,,,他们跑那么快难道是为了追上发射出去的榴弹？
26,拳击宗师,湖畔志愿者,4000,320,,250,50.0,,,0.95,,,业余救生员经过训练成为拳击宗师，会以诡异的步伐躲避攻击。
27,小寄居蟹,固海凿石者,6000,330,,200,10.0,,,0.9,,,发现猎物后会停在原地一直吐口水。
28,点灯骑士,散华骑士团学徒,7500,350,,300,60.0,,,0.7,,,他们点灯靠的是法术，可不是什么骑士风度。
29,冰手术师,冰原术师,5000,250,,200,50.0,,,0.7,,,他那双冰冷的手是想伸到谁的领子里？多伸几次会冻死人的！
30,“铜舌”,旺财,15000,1200,,700,20.0,,,0.7,,,那枚铜币根本不值得你去挨它那一舌头。
31,变异食肉植物,暴走食虫花,13000,0,,250,10.0,,,0.6,,,它们对“肉”的定义远比人们想象的要广泛得多。
32,最普通的鼷,田鼷,2000,340,,0,0.0,,,1.9,,,前面的定语的深层意思是：它们真的到处都是！
33,“配重投石机”,迷路的巨像,75000,1500,,600,0.0,,,0.5,,,没错，只有自己足够重才能投得更远。
34,畸变之矛,源石畸变体,4000,1000,,2000,80.0,,,0.7,,,小心那刺破天际的矛头。
35,“自在”,“自在”,40000,600,,800,55.0,,,0.5,,,你总怀疑画里的都是假的，但它打得你很痛是真的。
36,过气水手,码头水手,10000,800,,800,20.0,,,0.7,,,即使早就因为酒驾被赶下了船，他依然打扮得像个水手。
37,安逸的驮兽,温顺的武装驮兽,65000,1800,,50,50.0,,,0.6,,,赢了也好，输了也罢——这样的性格怎么能赢，我可是送了礼物的！
38,易爆源石虫,高能源石虫,2460,260,,0,0.0,,,1.0,,,不稳定，易爆——就像你的理财组合一样。
39,星星魔法师,风情街“星术师”,7000,380,,250,50.0,,,0.7,,,对着它们许愿没什么用，它们只能给你好梦一场，好像也不赖。
